n_games,score,record
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,10,10
7,0,10
8,0,10
9,10,10
10,0,10
11,10,10
12,0,10
13,0,10
14,10,10
15,0,10
16,10,10
17,0,10
18,10,10
19,0,10
20,10,10
